season,player_display_name,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed
2004,Priest Holmes,8,196,892.0,14,4.0,2.0,56.0,23.503310517365097,19,19,0.0,7.0,11.166341656295117,0.14074074074074075,193.9,0.97,-0.737312149892737,-0.0319909825297692,0.1310813867787532,2006.0
2004,Edgerrin James,18,366,1650.0,10,5.0,2.0,78.0,5.042587152938489,60,60,0.0,25.0,29.153039175293458,0.15384615384615385,279.3,7.5,1.6657025332603077,3.795779812430182,10.72027343791174,2006.0
2004,Curtis Martin,18,408,1840.0,12,2.0,0.0,93.0,14.796085265360455,49,49,0.0,16.0,10.365719099126968,0.1781818181818182,300.1,3.2025,0.0842391946921287,1.2766611307547773,3.751352635500712,2006.0
2004,Shaun Alexander,17,368,1728.0,16,5.0,3.0,80.0,-0.9171154716571617,24,24,0.0,10.0,12.75316637616743,0.09795918367346938,306.3,6.323,1.418831611764879,3.105843177565272,1.534835288221823,2005.0
2004,Rudi Johnson,16,362,1457.0,12,4.0,4.0,73.0,-43.95509683885936,15,15,0.0,2.0,0.9697408572537825,0.07772020725388601,218.10000000000002,6.323,1.418831611764879,3.105843177565272,1.534835288221823,2005.0
2004,Travis Henry,9,94,326.0,0,0.0,0.0,17.0,-19.308569160255225,10,10,0.0,4.0,1.7168234706048922,0.09090909090909091,37.1,2.437503,-0.2536088375232696,0.8282333857575374,-0.108369333307959,2005.0
2004,LaDainian Tomlinson,16,365,1415.0,17,5.0,2.0,76.0,-10.214998734420725,62,62,0.0,17.0,18.55559667793636,0.2059800664451827,294.42,5.958333,1.7207344034525902,2.892081815775737,6.5170646999991035,2009.0
2004,Clinton Portis,15,343,1315.0,5,5.0,4.0,65.0,-43.2534128393163,40,40,0.0,10.0,4.27237223109114,0.15873015873015872,193.6,7.686667,2.1249499335029185,3.905200714571497,18.45299234099234,2008.0
2004,Adrian Peterson,2,6,19.0,0,0.0,0.0,1.0,0.03541194158606231,2,2,0.0,1.0,2.334450014604954,0.058823529411764705,4.9,14.213333,6.348600588183935,7.731017177551294,94.68751798872997,2011.0
2004,Willis McGahee,15,284,1128.0,13,3.0,2.0,64.0,-18.484314989567515,22,22,0.0,8.0,11.726357520474178,0.09565217391304348,203.70000000000002,5.731429,1.5465768729810994,2.759074694112706,3.220975221148545,2007.0
2004,Willie Parker,5,32,186.0,0,0.0,0.0,8.0,5.429134487027422,3,3,0.0,0.0,-1.5599462904501706,0.11538461538461539,20.200000000000003,4.391667,0.5218480402849398,1.9737298463642936,5.679732075603264,2006.0
2004,Jason Wright,2,3,10.0,0,0.0,0.0,0.0,-0.8222461126279086,0,0,0.0,0.0,,,1.0,0.345,-1.1542881219125762,-0.3983549560136849,-0.9933038989928464,2005.0
2004,Steven Jackson,16,153,741.0,4,1.0,1.0,40.0,3.749098334744959,22,22,0.0,6.0,2.4606488869813345,0.08527131782945736,117.30000000000001,8.6195,2.5237655912212897,4.452010961734572,20.93806193806194,2008.0
2004,Michael Turner,2,20,104.0,0,0.0,0.0,4.0,1.262184685561806,4,4,0.0,0.0,-5.348771368036978,0.2222222222222222,9.2,2.35,-0.2813317631312793,0.7769406709227165,0.5013385333117251,2007.0
2005,Marshall Faulk,15,65,292.0,0,2.0,1.0,15.0,-11.002404005334126,44,44,0.0,18.0,10.391892839040846,0.12753623188405797,64.3,0.958333,-0.7416055606597118,-0.0388299720955882,0.1121619222059249,2006.0
2005,Priest Holmes,7,119,451.0,6,1.0,0.0,29.0,2.896715947907819,21,21,0.0,7.0,8.010928571045927,0.14893617021276595,106.80000000000001,0.97,-0.737312149892737,-0.0319909825297692,0.1310813867787532,2006.0
2005,Edgerrin James,16,373,1562.0,14,2.0,1.0,98.0,13.63772435128349,49,49,0.0,21.0,19.61905726670832,0.14714714714714713,280.5,7.5,1.6657025332603077,3.795779812430182,10.72027343791174,2006.0
2005,Curtis Martin,12,220,735.0,5,2.0,1.0,35.0,-26.91577114677327,24,24,0.0,3.0,1.440696609957758,0.14035087719298245,113.3,3.2025,0.0842391946921287,1.2766611307547773,3.751352635500712,2006.0
2005,Shaun Alexander,19,430,2116.0,29,6.0,2.0,118.0,45.660338670643775,18,18,0.0,3.0,1.0970357528821255,0.07792207792207792,395.6,7.710938,1.7433268994524878,3.9194279465721817,11.062335151982472,2006.0
