,season,player_display_name,games,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed,predicted_smoothed_salary
230,2023,David Bell,10,22,31,221.0,3,88.0,11.0,12.30778267403366,0.084931506849315,40.1,1.253285,0.1723050161710999,0.0243774176628711,1.104301204819277,2024.0,1.0620348538006035
185,2023,Parris Campbell,8,20,27,104.0,0,65.0,2.0,-22.297170607696668,0.1139240506329113,10.4,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.015057355674124565
228,2023,Samori Toure,8,8,18,78.0,0,18.0,4.0,-3.587043906098644,0.0694980694980695,9.8,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,-0.188024025390448
227,2023,Amon-Ra St. Brown,19,141,198,1789.0,11,791.0,93.0,85.88281979429318,0.3022900763358778,245.5,30.0025,23.502016224337325,10.80898162874697,70.37951807228917,2024.0,24.269298766940384
226,2023,Terrace Marshall Jr.,8,19,33,139.0,0,48.0,8.0,-7.208909526750292,0.1204379562043795,13.9,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,-0.0549607119501215
225,2023,Kadarius Toney,13,27,38,169.0,1,128.0,12.0,-8.356740063003516,0.0865603644646924,26.0,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,0.3161562402825803
224,2023,DeVonta Smith,17,89,124,1214.0,7,337.0,53.0,39.19463760661288,0.2366412213740458,161.4,25.0,19.44253563264633,8.93240925743359,58.32530120481928,2024.0,19.294605716812583
223,2023,Austin Trammell,2,4,7,29.0,0,35.0,2.0,-3.0054264192585833,0.125,2.9000000000000004,0.985,-0.045405678589883,-0.0762635056030579,0.4578313253012048,2024.0,0.7194905098834701
222,2023,Simi Fehoko,1,1,2,9.0,1,7.0,1.0,1.0416169919772074,0.0526315789473684,6.9,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,0.0077539980652635955
221,2023,Ihmir Smith-Marsette,7,8,10,51.0,0,48.0,5.0,1.515756132430397,0.0625,24.500000000000004,1.41,0.2994777299995564,0.0831654314900328,1.4819277108433735,2024.0,-0.053445138347733824
220,2023,Jaylen Waddle,15,74,109,1045.0,4,421.0,49.0,44.9779002256379,0.219758064516129,130.60000000000002,28.25,22.079879345389102,10.151571717557225,66.15662650602411,2024.0,16.61621580087068
219,2023,Nico Collins,17,91,126,1461.0,9,641.0,62.0,78.70917354813332,0.2307692307692307,203.2,24.25,18.833917852782616,8.651064074328136,56.518072289156635,2024.0,19.717475684494037
218,2023,Rashod Bateman,17,36,62,408.0,1,64.0,22.0,3.732849053983696,0.1273100616016427,48.6,6.435949,4.37798695945058,1.968534153734933,13.592648192771088,2024.0,2.0306390349645547
216,2023,Mike Strachan,2,1,3,45.0,0,8.0,1.0,1.1621588364942,0.05,4.5,0.3024,-0.5993290073031806,-0.3323251349201021,-1.1869879518072293,2024.0,-0.1041778906564667
184,2023,Darius Slayton,17,50,79,770.0,4,298.0,29.0,29.193758920556547,0.1628865979381443,101.0,6.2,4.186516617395828,1.880023334256868,13.024096385542173,2024.0,3.6254972772016223
124,2023,DeVante Parker,13,33,55,394.0,0,126.0,17.0,1.0191893047730458,0.1403061224489795,39.4,1.21,0.1371796553692319,0.0081400493285783,1.0,2024.0,1.1454657346144719
182,2023,Greg Dortch,9,24,41,280.0,2,152.0,14.0,4.755318414332578,0.1418685121107266,40.5,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,1.3034272711463624
148,2023,Mack Hollins,9,18,30,251.0,0,55.0,9.0,9.698308007929825,0.0986842105263157,25.1,2.6,1.2651512740499873,0.5295664553506871,4.349397590361447,2024.0,0.5025410455201725
147,2023,Mike Williams,3,19,26,249.0,1,108.0,9.0,12.852714901445928,0.2203389830508474,31.200000000000003,10.0,7.270180035371994,3.305505595324503,22.18072289156627,2024.0,6.620377067953831
146,2023,Isaiah McKenzie,9,11,14,82.0,0,72.0,4.0,2.2149172026048127,0.0703517587939698,9.6,1.3775,0.2731042928721287,0.0709738068887964,1.4036144578313254,2024.0,0.07829225823970187
145,2023,Kendrick Bourne,8,37,55,406.0,4,203.0,15.0,-9.540425373947777,0.2022058823529411,63.0,6.5,4.429963729341314,1.9925614074990496,13.746987951807233,2024.0,3.951438899603258
144,2023,Trent Taylor,3,0,2,0.0,0,0.0,0.0,-1.2993067152565343,0.0357142857142857,-0.2,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,-0.21532750901681974
143,2023,Curtis Samuel,16,62,91,613.0,4,260.0,26.0,6.006242268805459,0.163375224416517,95.2,8.0,5.647199289068748,2.5552517737099585,17.361445783132535,2024.0,2.59709307691055
142,2023,Tyreek Hill,17,124,179,1861.0,14,683.0,84.0,90.25149690689496,0.3190730837789661,269.6,30.0,23.499987498404444,10.808043811469952,70.37349397590363,2024.0,25.268603248538614
141,2023,Tyler Boyd,17,67,98,667.0,2,279.0,28.0,5.828839830407998,0.1655405405405405,77.80000000000001,2.4,1.1028531994196626,0.4545410731892325,3.867469879518073,2024.0,2.427709436353904
140,2023,Laquon Treadwell,1,1,3,16.0,0,0.0,1.0,0.2030973852379247,0.1153846153846153,1.6,1.21,0.1371796553692319,0.0081400493285783,1.0,2024.0,-0.37421369346388555
